UTC,Altitude
2020-01-19T21:41:12Z,0
2020-01-19T21:48:52Z,0
2020-01-19T21:52:28Z,0
2020-01-19T21:52:34Z,0
2020-01-19T21:52:44Z,0
2020-01-19T21:52:52Z,0
2020-01-19T21:53:05Z,0
2020-01-19T21:53:13Z,0
2020-01-19T21:53:21Z,0
2020-01-19T21:53:32Z,0
2020-01-19T21:53:39Z,0
2020-01-19T21:54:00Z,0
2020-01-19T21:54:15Z,0
2020-01-19T21:54:28Z,0
2020-01-19T21:54:41Z,0
2020-01-19T21:55:00Z,0
2020-01-19T21:55:07Z,0
2020-01-19T21:55:14Z,0
2020-01-19T21:55:20Z,0
2020-01-19T21:55:33Z,0
2020-01-19T21:55:44Z,0
2020-01-19T21:55:50Z,0
2020-01-19T21:56:03Z,0
2020-01-19T21:56:12Z,0
2020-01-19T21:56:21Z,0
2020-01-19T21:56:33Z,0
2020-01-19T21:56:46Z,0
2020-01-19T21:56:59Z,0
2020-01-19T21:57:10Z,0
2020-01-19T21:57:22Z,0
2020-01-19T21:57:29Z,0
2020-01-19T21:57:38Z,0
2020-01-19T21:58:09Z,0
2020-01-19T21:58:23Z,0
2020-01-19T21:58:34Z,0
2020-01-19T21:58:43Z,0
2020-01-19T21:59:43Z,5850
2020-01-19T21:59:55Z,6400
2020-01-19T22:00:01Z,6675
2020-01-19T22:00:20Z,7000
2020-01-19T22:00:32Z,7325
2020-01-19T22:00:43Z,7500
2020-01-19T22:00:56Z,7775
2020-01-19T22:01:09Z,8200
2020-01-19T22:01:20Z,8600
2020-01-19T22:01:33Z,9075
2020-01-19T22:01:46Z,9600
2020-01-19T22:01:58Z,10075
2020-01-19T22:02:10Z,10375
2020-01-19T22:02:22Z,10500
2020-01-19T22:02:34Z,10700
2020-01-19T22:02:47Z,10925
2020-01-19T22:02:59Z,11150
2020-01-19T22:03:11Z,11400
2020-01-19T22:03:23Z,11650
2020-01-19T22:03:35Z,11900
2020-01-19T22:03:49Z,12250
2020-01-19T22:04:27Z,13750
2020-01-19T22:05:00Z,14900
2020-01-19T22:05:35Z,16100
2020-01-19T22:12:23Z,26125
2020-01-19T22:13:40Z,27575
2020-01-19T22:15:10Z,29875
2020-01-19T22:15:39Z,30450
